City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
117,erenhot,43.6475,111.9767,-13.28,77,6,4.08,1707451859
118,remire-montjoly,4.9167,-52.2667,27.02,83,20,2.57,1707451500
119,iskateley,67.6803,53.1512,-11.1,91,72,4.47,1707451519
120,atherton,53.5237,-2.4935,5.41,91,100,2.24,1707451859
121,ust-nera,64.5667,143.2,-29.35,99,99,1.5,1707451496
122,madimba,-10.4,40.3333,26.4,88,100,4.84,1707451860
123,weyburn,49.6668,-103.8511,-7.06,93,98,5.37,1707451860
124,ghadamis,30.1337,9.5007,12.07,36,9,3.05,1707451860
125,den helder,52.9599,4.7593,7.21,99,100,5.14,1707451860
126,dunedin,-45.8742,170.5036,13.78,81,97,1.79,1707451268
127,sitka,57.0531,-135.33,1.94,75,20,0.0,1707451474
128,port mathurin,-19.6833,63.4167,27.03,73,88,9.99,1707451489
129,nogliki,51.8333,143.1667,-15.92,88,100,4.92,1707451861
130,crane,31.3974,-102.3501,11.73,39,82,4.0,1707451520
131,kiunga,-6.1219,141.2906,31.22,58,99,1.39,1707451727
132,aasiaat,68.7098,-52.8699,-27.99,96,81,4.96,1707451488
133,vila velha,-20.3297,-40.2925,24.41,95,20,1.03,1707451541
134,cuddapah,14.4667,78.8167,27.0,74,20,4.12,1707451862
135,grand baie,-20.0182,57.5802,28.03,75,95,4.47,1707451862
136,chimbarongo,-34.7,-71.05,18.49,41,28,0.8,1707451862
137,champerico,14.3,-91.9167,25.36,67,16,1.67,1707451719
138,inhambane,-23.865,35.3833,26.1,70,96,1.77,1707451746
139,zhangye,38.9342,100.4517,2.24,31,15,1.72,1707451862
140,buala,-8.145,159.5921,26.73,85,100,6.38,1707451474
141,bealanana,-14.55,48.7333,20.25,92,100,0.28,1707451863
142,cockburn town,21.4612,-71.1419,23.61,56,0,7.48,1707451511
143,lihue,21.9789,-159.3672,26.58,72,22,3.67,1707451197
144,kerikeri,-35.2268,173.9474,24.95,73,86,4.1,1707451529
145,hiratacho,35.4333,132.8167,9.01,70,40,3.6,1707451506
146,el calafate,-50.3408,-72.2768,10.48,78,80,3.7,1707451864
147,alice springs,-23.7,133.8833,35.12,20,51,6.17,1707451518
148,port lincoln,-34.7333,135.8667,21.32,55,3,6.59,1707451491
149,nabire,-3.3667,135.4833,31.18,63,91,3.03,1707451864
150,nueva esperanza,15.2667,-87.6,18.79,98,20,1.05,1707451865
151,saint-joseph,-21.3667,55.6167,25.21,84,100,6.5,1707451534
152,cidreira,-30.1811,-50.2056,24.26,92,12,6.19,1707451865
153,vernon,50.2581,-119.2691,2.39,82,73,0.0,1707451322
154,empalme,27.9667,-110.8167,14.08,57,98,1.28,1707451865
155,belvedere marittimo,39.6179,15.8617,8.4,85,22,1.63,1707451866
156,dalnegorsk,44.5604,135.5701,-3.0,80,80,1.79,1707451867
157,sinfra,6.6167,-5.9167,20.51,98,4,0.79,1707451868
158,flying fish cove,-10.4217,105.6791,28.82,89,75,2.57,1707451500
